dataset,experiment_name,experiment_id,timestamp,meta_loader,meta_synthesizer,meta_obtainer,meta_repairer,meta_synthesizer_params_model_path,meta_synthesizer_params_size,meta_synthesizer_params_seed,meta_obtainer_params_selection_budget,meta_obtainer_params_generation_budget,meta_obtainer_params_k,meta_obtainer_params_seed,meta_repairer_params_alpha,repairer,synthesizer,engine,runtime_loading,runtime_synthesizing,runtime_marginals_obtaining,runtime_repairing,deletion_ratio_before,deletion_ratio_after,deletion_ratio_ratio,marginals_error_synthetic_avg,marginals_error_repaired_avg,tvd_2way_synthetic_avg,tvd_2way_repaired_avg,ml_accuracy_synthetic_logistic_regression,ml_accuracy_synthetic_random_forest,ml_accuracy_synthetic_mlp,ml_accuracy_repaired_logistic_regression,ml_accuracy_repaired_random_forest,ml_accuracy_repaired_mlp,violations_private,violations_synthetic,violations_repaired,loss_function_synthetic_total,loss_function_synthetic_size_component,loss_function_synthetic_marginal_component,loss_function_repaired_total,loss_function_repaired_size_component,loss_function_repaired_marginal_component,meta_repairer_params_use_marginals
adult,alpha_sweep_adult_aim_a0.0,dc5dce41,2026-05-08T14:30:35.468299,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.32189154624938965,2.6212053298950195,1.3495745658874512,7.39044713973999,1000,168,0.832,0.1952319744086404,0.11198993982586776,0.07028697900518872,0.21392421497761155,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.8094058392367225,0.8323778715040334,0.8074607919413619,0,9241,0,0.012809603571788217,0.0,0.012809603571788217,0.00987230456704744,0.832,0.00987230456704744,
adult,alpha_sweep_adult_aim_a0.1,635d9573,2026-05-08T14:31:13.363601,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.1,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31333446502685547,2.622061252593994,1.3357937335968018,0.5810947418212891,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.011528643214609396,0.0,0.012809603571788217,0.014366234837646041,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.2,8db31e8e,2026-05-08T14:31:17.528031,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.2,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.3112819194793701,2.636014461517334,1.3487937450408936,0.5874638557434082,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.010247682857430574,0.0,0.012809603571788217,0.017769986522352035,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.3,0693d0bc,2026-05-08T14:31:23.372476,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.3,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31728601455688477,2.625218391418457,1.3496928215026855,0.5705118179321289,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.008966722500251751,0.0,0.012809603571788217,0.02117373820705803,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.4,02636a25,2026-05-08T14:31:20.783647,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.4,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31162476539611816,2.6286869049072266,1.331592082977295,0.6093976497650146,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.00768576214307293,0.0,0.012809603571788217,0.024577489891764025,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.5,23d2973d,2026-05-08T14:31:24.797635,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.5,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.3127706050872803,2.6331374645233154,1.3472130298614502,0.6491985321044922,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.006404801785894108,0.0,0.012809603571788217,0.02798124157647002,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.6,dab7dcf0,2026-05-08T14:31:14.223123,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.6,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.31230759620666504,2.632065534591675,1.353377103805542,0.5825486183166504,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.005123841428715287,0.0,0.012809603571788217,0.03138499326117602,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.7,1aa4a560,2026-05-08T14:31:22.949788,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.7,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.313169002532959,2.6304616928100586,1.3534281253814697,0.5775911808013916,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.003842881071536466,0.0,0.012809603571788217,0.034788744945882015,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.8,e6532cdd,2026-05-08T14:31:53.187890,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.8,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.23921966552734375,1.4670333862304688,0.7920262813568115,0.32274699211120605,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.0025619207143576426,0.0,0.012809603571788217,0.038192496630588005,0.045,0.010962483152940045,
adult,alpha_sweep_adult_aim_a0.9,715c4ef2,2026-05-08T14:31:59.935965,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/adult_aim.pkl,1000,42,0.5,0.5,20,42,0.9,WeightedVCRepairer,SmartNoiseModelLoader,aim,0.16720247268676758,1.319105625152588,1.3938992023468018,0.5850503444671631,1000,955,0.045,0.1952319744086404,0.1815695881618785,0.07028697900518872,0.07201326424810373,0.8202571557266287,0.8460546251177266,0.8081773883133369,0.821178493919168,0.844252897096761,0.8080954915851112,0,9241,0,0.0012809603571788213,0.0,0.012809603571788217,0.04159624831529401,0.045,0.010962483152940045,
